periodo,fecha_mes,concepto,energia_mwh,energia_gwh
201702,2017-02-01,VENTA DE ENERGIA,84005.7761719816,84.00577617198161
201702,2017-02-01,VENTA EN COES,19489.2502619816,19.4892502619816
201703,2017-03-01,COMPRA DE ENERGIA,0.0,0.0
201703,2017-03-01,CONSUMOS AUX.,714.0856935263171,0.7140856935263171
201703,2017-03-01,CONTRATOS,70607.22305999999,70.60722306
201703,2017-03-01,ENERGIA DISPONIBLE,93319.0817132921,93.31908171329209
201703,2017-03-01,PERDIDAS,1283.2811485344137,1.2832811485344136
201703,2017-03-01,PRODUCCION HIDRAULICA,56983.02802582816,56.983028025828155
201703,2017-03-01,PRODUCCION TERMICA,38333.420529524665,38.333420529524666
201703,2017-03-01,VENTA DE ENERGIA,93319.0817132921,93.31908171329209
201703,2017-03-01,VENTA EN COES,22711.8586532921,22.7118586532921
201704,2017-04-01,COMPRA DE ENERGIA,0.0,0.0
201704,2017-04-01,CONSUMOS AUX.,463.39151799325145,0.46339151799325146
201704,2017-04-01,CONTRATOS,65403.53902000001,65.40353902000001
201704,2017-04-01,ENERGIA DISPONIBLE,112378.47096785331,112.37847096785332
201704,2017-04-01,PERDIDAS,1429.5567051323742,1.429556705132374
201704,2017-04-01,PRODUCCION HIDRAULICA,84982.78471957606,84.98278471957606
201704,2017-04-01,PRODUCCION TERMICA,29288.63447140287,29.288634471402872
201704,2017-04-01,VENTA DE ENERGIA,112378.4709678533,112.3784709678533
201704,2017-04-01,VENTA EN COES,46974.9319478533,46.9749319478533
201705,2017-05-01,COMPRA DE ENERGIA,0.0,0.0
201705,2017-05-01,CONSUMOS AUX.,1153.8461275609948,1.1538461275609948
201705,2017-05-01,CONTRATOS,66350.14935,66.35014935000001
201705,2017-05-01,ENERGIA DISPONIBLE,119753.7173763681,119.7537173763681
201705,2017-05-01,PERDIDAS,1602.683036178103,1.602683036178103
201705,2017-05-01,PRODUCCION HIDRAULICA,67209.27212536118,67.20927212536118
