periodo,anio,mes,cliente,precio_medio_soles_mwh
202506,2025,6,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202506,2025,6,FABRICA DE CHOCOLATES LA IBERICA S.A.,351.5604867537216
202506,2025,6,IINCA TOPS S.A.,363.8020641323658
202506,2025,6,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,359.06993657340087
202506,2025,6,LUZ DEL SUR S.A.A.,381.6201725836869
202506,2025,6,MERCADO SPOT,167.8619263322517
202506,2025,6,MICHELL Y CIA S.A.,366.8726750489493
202506,2025,6,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,305.35218183767887
202506,2025,6,OXYMAN COMERCIAL S.A.C.,
202506,2025,6,PLUZ ENERGÍA PERÚ S.A.A.,341.2941506576806
202506,2025,6,SOCIEDAD ELECTRICA DEL SUR OESTE S A,426.6831627105608
202506,2025,6,TERMINAL INTERNACIONAL DEL SUR S.A.,267.6009716607585
202506,2025,6,UNIVERSIDAD CATOLICA SAN PABLO,421.1873598648701
202507,2025,7,AGRÍCOLA PAMPA BAJA S.A.C.,387.6858209861766
202507,2025,7,CLIENTE LIBRE,342.6882914241785
202507,2025,7,CONSORCIO ELECTRICO DE VILLACURI SAC,187.38252088718926
202507,2025,7,CR_ LICITACIONES,375.69152053843493
202507,2025,7,CR_BILATERALES,293.62376918792825
202507,2025,7,ELECTRO PUNO S.A.A.,278.18435086964917
202507,2025,7,ELECTRO SUR ESTE S.A.A.,419.28967477764235
202507,2025,7,ELECTROSUR S.A.,403.4563211209866
202507,2025,7,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202507,2025,7,FABRICA DE CHOCOLATES LA IBERICA S.A.,336.19982350844407
202507,2025,7,IINCA TOPS S.A.,351.6051640726292
202507,2025,7,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,363.96488864282964
202507,2025,7,LUZ DEL SUR S.A.A.,366.93881232218746
202507,2025,7,MERCADO SPOT,152.3117727785954
202507,2025,7,MICHELL Y CIA S.A.,369.0882059526375
202507,2025,7,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,306.03431351885934
202507,2025,7,OXYMAN COMERCIAL S.A.C.,
202507,2025,7,PLUZ ENERGÍA PERÚ S.A.A.,333.8435521593324
202507,2025,7,SOCIEDAD ELECTRICA DEL SUR OESTE S A,409.896089276325
202507,2025,7,TERMINAL INTERNACIONAL DEL SUR S.A.,274.0186628403088
202507,2025,7,UNIVERSIDAD CATOLICA SAN PABLO,397.15735907432867
202508,2025,8,AGRÍCOLA PAMPA BAJA S.A.C.,343.53731328939085
202508,2025,8,CLIENTE LIBRE,337.93689549858556
202508,2025,8,CONSORCIO ELECTRICO DE VILLACURI SAC,190.02472458331965
202508,2025,8,CR_ LICITACIONES,374.1023062863478
202508,2025,8,CR_BILATERALES,296.4265357974361
202508,2025,8,ELECTRO PUNO S.A.A.,286.7820584517956
202508,2025,8,ELECTRO SUR ESTE S.A.A.,413.9092920429339
202508,2025,8,ELECTROSUR S.A.,397.8142126838953
202508,2025,8,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202508,2025,8,FABRICA DE CHOCOLATES LA IBERICA S.A.,323.8493370881322
202508,2025,8,IINCA TOPS S.A.,359.4981149770617
202508,2025,8,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,374.33984146271894
