estacion,anio,mes,caudal_m3s,periodo
Aguada Blanca,2014.0,04,9.137333333333332,201404
Aguada Blanca,2015.0,04,10.3,201504
Aguada Blanca,2016.0,04,10.005333333333333,201604
Aguada Blanca,2017.0,04,15.386999999999999,201704
Aguada Blanca,2018.0,04,14.425666666666668,201804
Aguada Blanca,2019.0,04,16.299666666666663,201904
Aguada Blanca,2020.0,04,19.617466666666665,202004
Aguada Blanca,2021.0,04,20.083666666666666,202104
Aguada Blanca,2022.0,04,12.78,202204
Aguada Blanca,2023.0,04,9.78,202304
Aguada Blanca,2024.0,04,18.69,202404
Aguada Blanca,2025.0,04,20.84,202504
Aguada Blanca,1968.0,05,,196805
Aguada Blanca,1969.0,05,,196905
Aguada Blanca,1970.0,05,,197005
Aguada Blanca,1971.0,05,,197105
Aguada Blanca,1972.0,05,7.72,197205
Aguada Blanca,1973.0,05,14.95,197305
Aguada Blanca,1974.0,05,14.75,197405
Aguada Blanca,1975.0,05,15.34,197505
Aguada Blanca,1976.0,05,10.0,197605
Aguada Blanca,1977.0,05,8.39,197705
Aguada Blanca,1978.0,05,8.74,197805
Aguada Blanca,1979.0,05,8.3,197905
Aguada Blanca,1980.0,05,6.36,198005
Aguada Blanca,1981.0,05,10.25,198105
Aguada Blanca,1982.0,05,8.19,198205
Aguada Blanca,1983.0,05,4.04,198305
Aguada Blanca,1984.0,05,11.24,198405
Aguada Blanca,1985.0,05,13.84,198505
Aguada Blanca,1986.0,05,13.54,198605
Aguada Blanca,1987.0,05,9.44,198705
Aguada Blanca,1988.0,05,9.19,198805
Aguada Blanca,1989.0,05,8.16,198905
Aguada Blanca,1990.0,05,3.89,199005
Aguada Blanca,1991.0,05,9.8,199105
Aguada Blanca,1992.0,05,4.02,199205
Aguada Blanca,1993.0,05,7.88,199305
Aguada Blanca,1994.0,05,10.62,199405
Aguada Blanca,1995.0,05,9.33,199505
Aguada Blanca,1996.0,05,6.187,199605
Aguada Blanca,1997.0,05,10.997,199705
Aguada Blanca,1998.0,05,10.67,199805
Aguada Blanca,1999.0,05,13.05,199905
Aguada Blanca,2000.0,05,11.6,200005
Aguada Blanca,2001.0,05,19.902580645161287,200105
Aguada Blanca,2002.0,05,10.845806451612905,200205
Aguada Blanca,2003.0,05,10.903225806451617,200305
Aguada Blanca,2004.0,05,10.03483870967742,200405
Aguada Blanca,2005.0,05,8.519354838709678,200505
Aguada Blanca,2006.0,05,12.054193548387099,200605
Aguada Blanca,2007.0,05,12.330322580645161,200705
Aguada Blanca,2008.0,05,9.610967741935482,200805
Aguada Blanca,2009.0,05,9.004838709677419,200905
Aguada Blanca,2010.0,05,10.68,201005
Aguada Blanca,2011.0,05,13.32,201105
Aguada Blanca,2012.0,05,14.237741935483873,201205
Aguada Blanca,2013.0,05,14.53,201305
Aguada Blanca,2014.0,05,9.004193548387095,201405
Aguada Blanca,2015.0,05,9.998387096774191,201505
Aguada Blanca,2016.0,05,10.009032258064511,201605
Aguada Blanca,2017.0,05,11.08258064516129,201705
Aguada Blanca,2018.0,05,11.09483870967742,201805
Aguada Blanca,2019.0,05,12.000322580645161,201905
Aguada Blanca,2020.0,05,12.194193548387096,202005
Aguada Blanca,2021.0,05,12.0,202105
